iso3,period,year,quarter,penetr_gen,penetr_fam,densite_gen,densite_fam,equity_assets_gen,equity_assets_fam,retention_gen,retention_fam,opex_ratio_gen,opex_ratio_fam,invest_income_gen,invest_income_fam,operateurs_gen,operateurs_fam,gwc_gen,gwc_fam,nwc_gen,nwc_fam,gwc_gen_flux,gwc_fam_flux,nwc_gen_flux,nwc_fam_flux,wui_raw,wui_ma3,wui_global,specA,covid,ln_gwc_gen,ln_gwc_fam
NGA,2020Q2,2020,2,NA,NA,NA,NA,20.642047,19.914787,75.371131,83.365527,61.31192,73.798308,2.481311,2.029636,NA,NA,628098789,277925512,473405161,231694068,210283630,139622807,58089508,75464237,0.3876613,0.2002462,28914.37,TRUE,TRUE,19.16396779646388,18.75445510887398
NGA,2020Q3,2020,3,NA,NA,NA,NA,29.92591,26.358482,72.843531,90.197415,76.308081,59.75537,6.683183,4.117057,4,4,991657935,674478051,722358651,608361767,363559146,396552539,248953490,376667699,0.3098854,0.1364498,27497.73,TRUE,TRUE,19.711452554218795,19.798319097196597
NGA,2020Q4,2020,4,NA,NA,NA,NA,25.737968,22.301167,66.302469,86.167975,36.200949,60.991607,5.652434,5.698489,4,4,1501191154,1280043420,995326804,1102987490,509533219,605565369,272968153,494625723,0.1950268,0.0829159,22319.62,TRUE,TRUE,20.049005607716595,20.22167307384211
NGA,2021Q1,2021,1,NA,NA,NA,NA,47.819771,42.563674,108.637077,105.58327,24.832112,31.633093,1.637546,2.260724,4,4,587251191,901865288,637972529,952218858,587251191,901865288,637972529,952218858,0.3995206,0.1097363,11888.73,TRUE,TRUE,20.1909632095983,20.61997571875806
NGA,2021Q2,2021,2,NA,NA,NA,NA,51.191717,42.255977,89.490159,83.784808,45.852027,42.923247,3.443689,5.094092,4,4,1026133510,1915518520,918288510,1604913520,438882319,1013653232,280315981,652694662,0.2363089,0.0937147,18072.81,TRUE,TRUE,19.899741869044092,20.73682670335068
NGA,2021Q3,2021,3,NA,NA,NA,NA,36.013792,48.984838,79.424829,85.099383,62.82483,44.604749,3.94589,3.761067,4,4,1529187814,3171938404,1214554814,2699300011,503054304,1256419884,296266304,1094386491,0.5962141,0.1561911,21508.56,TRUE,FALSE,20.036208682475294,20.951532151673543
NGA,2021Q4,2021,4,NA,NA,NA,NA,31.529782,22.796287,65.166849,83.710766,61.964505,84.693078,4.552316,4.586948,4,4,1931338411,4438330507,1258592394,3715360479,402150597,1266392103,44037580,1016060468,0.278288,0.123156,19802.65,TRUE,FALSE,19.81233719583395,20.959437830725154
NGA,2022Q1,2022,1,NA,NA,NA,NA,20.624773,98.088393,101.40434,110.018066,14.215089,6.140592,1.336719,1.077211,4,4,974029767.325026,1402848331.690776,987708460.998102,1543386604.524335,974029767.325026,1402848331.690776,987708460.998102,1543386604.524335,0.2896871,0.10564,26455.02,TRUE,FALSE,20.696952423075146,21.061770529365592
NGA,2022Q2,2022,2,NA,NA,NA,NA,20.455304,25.951225,84.363982,93.493887,7.483358,53.416738,3.796959,4.92711,4,4,1536165948.500001,2440435207.06576,1295970767.212309,2281657746.938149,562136181.1749749,1037586875.374984,308262306.21420693,738271142.4138141,0.2326934,0.0847837,29343.64,TRUE,FALSE,20.147254693762328,20.760163541864713
NGA,2022Q3,2022,3,NA,NA,NA,NA,18.045935,24.660858,81.587195,94.150477,27.899536,56.208594,3.394699,5.332925,4,4,2231975295.874792,3405374549.413358,1821006033.901135,3206176375.786371,695809347.3747911,964939342.3475981,525035266.6888261,924518628.8482223,0.0728173,0.047489,24504.76,TRUE,FALSE,20.36058625458842,20.687575799656752
